"1_Portfolio_identifying_data";"2_Type_of_identification_code_for_the_fund_share_or_portfolio";"3_Portfolio_name";"4_Portfolio_currency_(B)";"5_Net_asset_valuation_of_the_portfolio_or_the_share_class_in_portfolio_currency";"6_Valuation_date";"7_Reporting_date";"8_Share_price";"8b_Total_number_of_shares";"9_Cash_ratio";"10_Portfolio_Modified_Duration";"11_Complete_SCR_Delivery";"12_CIC_code_of_the_instrument";"13_Economic_zone_of_the_quotation_place";"14_Identification_code_of_the_instrument";"15_Type_of_identification_code_for_the_instrument";"16_Grouping_code_for_multiple_leg_instruments";"17_Instrument_name";"17b_Asset_Liability";"18_Quantity";"19_Nominal_amount";"20_Contract_size_for_derivatives";"21_Quotation_currency_(A)";"22_Market_valuation_in_quotation_currency_(A)";"23_Clean_market_valuation_in_quotation_currency_(A)";"24_Market_valuation_in_portfolio_currency_(B)";"25_Clean_market_valuation_in_portfolio_currency_(B)";"26_Valuation_weight";"27_Market_exposure_amount_in_quotation_currency_(A)";"28_Market_exposure_amount_in_portfolio_currency_(B)";"29_Market_exposure_amount_for_the_3rd_quotation_currency_(C)";"30_Market_Exposure_in_weight";"31_Market_exposure_for_the_3rd_currency_in_weight_over_NAV";"32_Interest_rate_type";"33_Coupon_rate";"34_Interest_rate_reference_identification";"35_Identification_type_for_interest_rate_index";"36_Interest_rate_index_name";"37_Interest_rate_Margin";"38_Coupon_payment_frequency";"39_Maturity_date";"40_Redemption_type";"41_Redemption_rate";"42_Callable_putable";"43_Call_put_date";"44_Issuer_bearer_option_exercise";"45_Strike_price_for_embedded_(call_put)_options";"46_Issuer_name";"47_Issuer_identification_code";"48_Type_of_identification_code_for_issuer";"49_Name_of_the_group_of_the_issuer";"50_Identification_of_the_group";"51_Type_of_identification_code_for_issuer_group";"52_Issuer_country";"53_Issuer_economic_area";"54_Economic_sector";"55_Covered_not_covered";"56_Securitisation";"57_Explicit_guarantee_by_the_country_of_issue";"58_Subordinated_debt";"58b_Nature_of_the_tranche";"59_Credit_quality_step";"60_Call_Put_Cap_Floor";"61_Strike_price";"62_Conversion_factor_(convertibles)_concordance_factor_parity_(options)";"63_Effective_date_of_instrument";"64_Exercise_type";"65_Hedging_rolling";"67_CIC_of_the_underlying_asset";"68_Identification_code_of_the_underlying_asset";"69_Type_of_identification_code_for_the_underlying_asset";"70_Name_of_the_underlying_asset";"71_Quotation_currency_of_the_underlying_asset_(C)";"72_Last_valuation_price_of_the_underlying_asset";"73_Country_of_quotation_of_the_underlying_asset";"74_Economic_area_of_quotation_of_the_underlying_asset";"75_Coupon_rate_of_the_underlying_asset";"76_Coupon_payment_frequency_of_the_underlying_asset";"77_Maturity_date_of_the_underlying_asset";"78_Redemption_profile_of_the_underlying_asset";"79_Redemption_rate_of_the_underlying_asset";"80_Issuer_name_of_the_underlying_asset";"81_Issuer_identification_code_of_the_underlying_asset";"82_Type_of_issuer_identification_code_of_the_underlying_asset";"83_Name_of_the_group_of_the_issuer_of_the_underlying_asset";"84_Identification_of_the_group_of_the_underlying_asset";"85_Type_of_the_group_identification_code_of_the_underlying_asset";"86_Issuer_country_of_the_underlying_asset";"87_Issuer_economic_area_of_the_underlying_asset";"88_Explicit_guarantee_by_the_country_of_issue_of_the_underlying_asset";"89_Credit_quality_step_of_the_underlying_asset";"90_Modified_duration_to_maturity_date";"91_Modified_duration_to_next_option_exercise_date";"92_Credit_sensitivity";"93_Sensitivity_to_underlying_asset_price_(delta)";"94_Convexity_gamma_for_derivatives";"94b_Vega";"95_Identification_of_the_original_portfolio_for_positions_embedded_in_a_fund";"97_SCR_mrkt_IR_up_weight_over_NAV";"98_SCR_mrkt_IR_down_weight_over_NAV";"99_SCR_mrkt_eq_type1_weight_over_NAV";"100_SCR_mrkt_eq_type2_weight_over_NAV";"101_SCR_mrkt_prop_weight_over_NAV";"102_SCR_mrkt_spread_bonds_weight_over_NAV";"103_SCR_mrkt_spread_structured_weight_over_NAV";"104_SCR_mrkt_spread_derivatives_up_weight_over_NAV";"105_SCR_mrkt_spread_derivatives_down_weight_over_NAV";"105a_SCR_mrkt_FX_up_weight_over_NAV";"105b_SCR_mrkt_FX_down_weight_over_NAV";"106_Asset_pledged_as_collateral";"107_Place_of_deposit";"108_Participation";"110_Valorisation_method";"111_Value_of_acquisition";"112_Credit_rating";"113_Rating_agency";"114_Issuer_economic_area";"115_Fund_issuer_code";"116_Fund_issuer_code_type";"117_Fund_issuer_name";"118_Fund_issuer_sector";"119_Fund_issuer_group_code";"120_Fund_issuer_group_code_type";"121_Fund_issuer_group_name";"122_Fund_issuer_country";"123_Fund_CIC";"123a_Fund_custodian_country";"124_Duration";"125_Accrued_income_(Security Denominated Currency)";"126_Accrued_income_(Portfolio Denominated Currency)";"127_Bond_floor_(convertible_instrument_only)";"128_Option_premium_(convertible_instrument_only)";"129_Valuation_yield";"130_Valuation_z_spread";"131_Underlying_asset_category";"132_Infrastructure_investment";"133_custodian_name";"134_type1_private_equity_portfolio_eligibility";"135_type1_private_equity_issuer_beta";"137_Counterparty_sector";"138_Collateral_eligibility";"139_Collateral_market_valuation_in_portfolio_currency";"140_Custodian_identification_code";"141_Type_of_custodian_identification_code";"142_Bail-in_Rule";"143_Maturity_date_expected";"144_Modified_duration_to_maturity_date_expected";"145_Credit_sensitivity_expected";"146_PIK";"147_Infrastructure_investment_additional_QRT";"148_Economic_sector_NACE2.1";"1000_TPT_Version"
"BASSCLO";"99";"Star Bassano";"EUR";"196927165.62";"2025-12-31";"2026-01-07";"1";"";"0.9998";"2.1837";"Y";"XT64";"0";"XS2374580798";"1";"";"NEUBE_21-2X   B1 RegS";"";;"5000000";;"EUR";"5045863.1944";"5006197.5000";"5045863.1944";"5006197.5000";"0.025622992";"5045863.1944";"5045863.1944";;"0.025622992";;"Floating";"3.709";"3M EURIBOR";"";"3M EURIBOR";"1.7";"4";"2034-04-15";;"";;"2034-04-15";"";"";"NEUBERGER BERMAN LOAN ADVISERS EURO CLO DAC NEUBE_21-2";;"9";"NEUBERGER BERMAN LOAN ADVISERS EURO CLO DAC NEUBE_21-2";;"9";"IE";"1";"K6430";"NC";"0";"N";"Y";"B1";"1.0000";;"";;"2021-09-23";;"";;"";;"";;"";;"";;"";;"";;"NEUBERGER BERMAN LOAN ADVISERS EURO CLO DAC NEUBE_21-2";;"9";"NEUBERGER BERMAN LOAN ADVISERS EURO CLO DAC NEUBE_21-2";;"9";"IE";"1";;"9";"0.02174";;"3.07994";;"0.00081";;"";"0.00002";"-0.00002";"0";"0";"0";"0";"0.01057";"0";"0";"0";"0";"";"";"";"";"";"AA";"5493008B2TU3S6QE1E12";"1";"549300J8EENG40ZIIN89";"1";"BLACKROCK FRANCE SAS";;"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"FR";"";"";"2.1837";"39665.69444";"39665.69444";;"";"3.75621";"173.03493";"6";"0";"";"";"";"";"0";"293436231";"";"";"9";"2029-04-16";"0.02174";"154.4";"";"1";"";"V7.0"
"BASSCLO";"99";"Star Bassano";"EUR";"196927165.62";"2025-12-31";"2026-01-07";"1";"";"0.9998";"2.1837";"Y";"XT64";"0";"XS2954184359";"1";"";"AVOCA_18X   CR RegS";"";;"5000000";;"EUR";"5039799.4444";"4994070.0000";"5039799.4444";"4994070.0000";"0.0255922001858";"5039799.4444";"5039799.4444";;"0.0255922001858";;"Floating";"4.276";"3M EURIBOR";"";"3M EURIBOR";"2.25";"4";"2038-01-15";;"";;"2038-01-15";"";"";"AVOCA CLO XVIII DAC AVOCA_18X";;"9";"AVOCA CLO XVIII DAC AVOCA_18X";;"9";"IE";"1";"K6430";"NC";"0";"N";"Y";"CR";"2.0000";;"";;"2025-01-15";;"";;"";;"";;"";;"";;"";;"";;"AVOCA CLO XVIII DAC AVOCA_18X";;"9";"AVOCA CLO XVIII DAC AVOCA_18X";;"9";"IE";"1";;"9";"0.02212";;"2.17851";;"0.00057";;"";"0.00002";"-0.00002";"0";"0";"0";"0";"0.00925";"0";"0";"0";"0";"";"";"";"";"";"A";"213800BTXUQP1JZRO283";"1";"549300J8EENG40ZIIN89";"1";"BLACKROCK FRANCE SAS";;"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"FR";"";"";"2.1837";"45729.44444";"45729.44444";;"";"4.42611";"238.11051";"6";"0";"";"";"";"";"0";"489377264";"";"";"9";"2028-04-18";"0.02212";"229.3";"";"1";"";"V7.0"
"BASSCLO";"99";"Star Bassano";"EUR";"196927165.62";"2025-12-31";"2026-01-07";"1";"";"0.9998";"2.1837";"Y";"XT64";"0";"XS2978487473";"1";"";"BRGPT_4X   AR RegS";"";;"5000000";;"EUR";"5037253.0000";"5004613.0000";"5037253.0000";"5004613.0000";"0.025579269291067";"5037253.0000";"5037253.0000";;"0.025579269291067";;"Floating";"3.264";"3M EURIBOR";"";"3M EURIBOR";"1.26";"4";"2039-01-20";;"";;"2039-01-20";"";"";"BRIDGEPOINT CLO 4 DAC BRGPT_4X";;"9";"BRIDGEPOINT CLO 4 DAC BRGPT_4X";;"9";"IE";"1";"K6430";"NC";"0";"N";"N";"AR";"0.0000";;"";;"2025-02-07";;"";;"";;"";;"";;"";;"";;"";;"BRIDGEPOINT CLO 4 DAC BRGPT_4X";;"9";"BRIDGEPOINT CLO 4 DAC BRGPT_4X";;"9";"IE";"1";;"9";"0.04137";;"2.43946";;"0.00061";;"";"0.00002";"-0.00003";"0";"0";"0";"0";"0.0078";"0";"0";"0";"0";"";"";"";"";"";"AAA";"213800BTXUQP1JZRO283";"1";"549300J8EENG40ZIIN89";"1";"BLACKROCK FRANCE SAS";;"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"FR";"";"";"2.1837";"32640";"32640";;"";"3.30367";"129.57885";"6";"0";"";"";"";"";"0";"442579477";"";"";"9";"2028-07-20";"0.04137";"115.6";"";"1";"";"V7.0"
"BASSCLO";"99";"Star Bassano";"EUR";"196927165.62";"2025-12-31";"2026-01-07";"1";"";"0.9998";"2.1837";"Y";"XT64";"0";"XS2392989401";"1";"";"FOAKS-3X   AR RegS";"";;"5000000";;"EUR";"5030659.5833";"4998480.0000";"5030659.5833";"4998480.0000";"0.02554578779223";"5030659.5833";"5030659.5833";;"0.02554578779223";;"Floating";"3.009";"3M EURIBOR";"";"3M EURIBOR";"1";"4";"2034-10-15";;"";;"2034-10-15";"";"";"FAIR OAKS LOAN FUNDING III DAC";"6354002R5DADYSJADR44";"1";"FAIR OAKS LOAN FUNDING III DAC";"6354002R5DADYSJADR44";"1";"IE";"1";"K6430";"NC";"0";"N";"N";"AR";"0.0000";;"";;"2021-11-01";;"";;"";;"";;"";;"";;"";;"";;"FAIR OAKS LOAN FUNDING III DAC";"6354002R5DADYSJADR44";"1";"FAIR OAKS LOAN FUNDING III DAC";"6354002R5DADYSJADR44";"1";"IE";"1";;"9";"0.03261";;"1.79879";;"0.00037";;"";"0.00002";"-0.00002";"0";"0";"0";"0";"0.00574";"0";"0";"0";"0";"";"";"";"";"";"AAA";"213800BTXUQP1JZRO283";"1";"549300J8EENG40ZIIN89";"1";"BLACKROCK FRANCE SAS";;"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"FR";"";"";"2.1837";"32179.58333";"32179.58333";;"";"3.09755";"108.56705";"6";"0";"";"";"";"";"0";"352648483";"";"";"9";"2029-04-16";"0.03261";"99.8";"";"1";"";"V7.0"
"BASSCLO";"99";"Star Bassano";"EUR";"196927165.62";"2025-12-31";"2026-01-07";"1";"";"0.9998";"2.1837";"Y";"XT64";"0";"XS2357476691";"1";"";"VOYE_2X   AR RegS";"";;"5000000";;"EUR";"5027980.8056";"4996229.0000";"5027980.8056";"4996229.0000";"0.025532184906262";"5027980.8056";"5027980.8056";;"0.025532184906262";;"Floating";"2.969";"3M EURIBOR";"";"3M EURIBOR";"0.96";"4";"2035-07-15";;"";;"2035-07-15";"";"";"VOYA EURO CLO VOYE_2X";"635400URG3IUW6R6W254";"1";"VOYA EURO CLO VOYE_2X";"635400URG3IUW6R6W254";"1";"IE";"1";"K6430";"NC";"0";"N";"N";"AR";"0.0000";;"";;"2021-07-15";;"";;"";;"";;"";;"";;"";;"";;"VOYA EURO CLO VOYE_2X";"635400URG3IUW6R6W254";"1";"VOYA EURO CLO VOYE_2X";"635400URG3IUW6R6W254";"1";"IE";"1";;"9";"0.03338";;"1.63708";;"0.00034";;"";"0.00002";"-0.00002";"0";"0";"0";"0";"0.00522";"0";"0";"0";"0";"";"";"";"";"";"AAA";"213800BTXUQP1JZRO283";"1";"549300J8EENG40ZIIN89";"1";"BLACKROCK FRANCE SAS";;"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"FR";"";"";"2.1837";"31751.80556";"31751.80556";;"";"3.08533";"107.38594";"6";"0";"";"";"";"";"0";"399195116";"";"";"9";"2029-01-16";"0.03338";"100.7";"";"1";"";"V7.0"
"BASSCLO";"99";"Star Bassano";"EUR";"196927165.62";"2025-12-31";"2026-01-07";"1";"";"0.9998";"2.1837";"Y";"XT64";"0";"XS2900384053";"1";"";"ARBR_6X   BR RegS";"";;"5000000";;"EUR";"5020040.4444";"4995816.0000";"5020040.4444";"4995816.0000";"0.025491863597182";"5020040.4444";"5020040.4444";;"0.025491863597182";;"Floating";"3.964";"3M EURIBOR";"";"3M EURIBOR";"1.9";"4";"2037-11-15";;"";;"2037-11-15";"";"";"ARBOUR CLO ARBR_6X";;"9";"ARBOUR CLO ARBR_6X";;"9";"IE";"1";"K6430";"NC";"0";"N";"Y";"BR";"1.0000";;"";;"2024-10-03";;"";;"";;"";;"";;"";;"";;"";;"ARBOUR CLO ARBR_6X";;"9";"ARBOUR CLO ARBR_6X";;"9";"IE";"1";;"9";"0.1012";;"2.4896";;"0.00122";;"";"0.00005";"-0.00006";"0";"0";"0";"0";"0.0085";"0";"0";"0";"0";"";"";"";"";"";"AA";"213800BTXUQP1JZRO283";"1";"549300J8EENG40ZIIN89";"1";"BLACKROCK FRANCE SAS";;"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"FR";"";"";"2.1837";"24224.44444";"24224.44444";;"";"4.0356";"201.10251";"6";"0";"";"";"";"";"0";"460660504";"";"";"9";"2028-08-15";"0.1012";"188.5";"";"1";"";"V7.0"
"BASSCLO";"99";"Star Bassano";"EUR";"196927165.62";"2025-12-31";"2026-01-07";"1";"";"0.9998";"2.1837";"Y";"IE64";"1";"XS2401860635";"1";"";"VOYE_4X   AR RegS";"";;"5000000";;"EUR";"5018562.7500";"4986704.0000";"5018562.7500";"4986704.0000";"0.025484359835881";"5018562.7500";"5018562.7500";;"0.025484359835881";;"Floating";"2.979";"3M EURIBOR";"";"3M EURIBOR";"0.97";"4";"2034-10-15";;"";;"2034-10-15";"";"";"VOYA EURO CLO VOYE_4X";;"9";"VOYA EURO CLO VOYE_4X";;"9";"IE";"1";"K6430";"NC";"0";"N";"N";"AR";"0.0000";;"";;"2021-12-02";;"";;"";;"";;"";;"";;"";;"";;"VOYA EURO CLO VOYE_4X";;"9";"VOYA EURO CLO VOYE_4X";;"9";"IE";"1";;"9";"0.03104";;"2.02032";;"0.00034";;"";"0.00002";"-0.00002";"0";"0";"0";"0";"0.00644";"0";"0";"0";"0";"";"";"";"";"";"AAA";"213800BTXUQP1JZRO283";"1";"549300J8EENG40ZIIN89";"1";"BLACKROCK FRANCE SAS";;"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"FR";"";"";"2.1837";"31858.75";"31858.75";;"";"3.18355";"116.99622";"6";"0";"";"";"";"";"0";"367054436";"";"";"9";"2029-07-16";"0.03104";"106.1";"";"1";"";"V7.0"
"BASSCLO";"99";"Star Bassano";"EUR";"196927165.62";"2025-12-31";"2026-01-07";"1";"";"0.9998";"2.1837";"Y";"IE64";"1";"XS2402373000";"1";"";"PROVD_6X    A RegS";"";;"4950000";;"EUR";"4966180.9725";"4949150.0850";"4966180.9725";"4949150.0850";"0.025218364144853";"4966180.9725";"4966180.9725";;"0.025218364144853";;"Floating";"3.021";"3M EURIBOR";"";"3M EURIBOR";"0.97";"4";"2034-11-20";;"";;"2034-11-20";"";"";"PROVIDUS CLO VI DAC PROVD_6X";;"9";"PROVIDUS CLO VI DAC PROVD_6X";;"9";"IE";"1";"K6430";"NC";"0";"N";"N";"A";"0.0000";;"";;"2021-12-15";;"";;"";;"";;"";;"";;"";;"";;"PROVIDUS CLO VI DAC PROVD_6X";;"9";"PROVIDUS CLO VI DAC PROVD_6X";;"9";"IE";"1";;"9";"0.12677";;"2.14475";;"0.00106";;"";"0.00005";"-0.00006";"0";"0";"0";"0";"0.00676";"0";"0";"0";"0";"";"";"";"";"";"AAA";"5493008B2TU3S6QE1E12";"1";"549300J8EENG40ZIIN89";"1";"BLACKROCK FRANCE SAS";;"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"FR";"";"";"2.1837";"17030.8875";"17030.8875";;"";"3.06064";"104.69443";"6";"0";"";"";"";"";"0";"402336291";"";"";"9";"2029-08-20";"0.12677";"93.1";"";"1";"";"V7.0"
"BASSCLO";"99";"Star Bassano";"EUR";"196927165.62";"2025-12-31";"2026-01-07";"1";"";"0.9998";"2.1837";"Y";"XT64";"0";"XS2293734476";"1";"";"NEUBE_1   B1 RegS";"";;"4900000";;"EUR";"4923331.8400";"4888970.5900";"4923331.8400";"4888970.5900";"0.025000775411647";"4923331.8400";"4923331.8400";;"0.025000775411647";;"Floating";"3.366";"3M EURIBOR";"";"3M EURIBOR";"1.35";"4";"2034-04-17";;"";;"2034-04-17";"";"";"NEUBERGER BERMAN LOAN ADVISERS EURO CLO NEUBE_1";;"9";"NEUBERGER BERMAN LOAN ADVISERS EURO CLO NEUBE_1";;"9";"IE";"1";"K6430";"NC";"0";"N";"Y";"B1";"1.0000";;"";;"2021-03-29";;"";;"";;"";;"";;"";;"";;"";;"NEUBERGER BERMAN LOAN ADVISERS EURO CLO NEUBE_1";;"9";"NEUBERGER BERMAN LOAN ADVISERS EURO CLO NEUBE_1";;"9";"IE";"1";;"9";"0.03726";;"2.88397";;"0.00065";;"";"0.00002";"-0.00002";"0";"0";"0";"0";"0.00966";"0";"0";"0";"0";"";"";"";"";"";"AA";"5493008B2TU3S6QE1E12";"1";"549300J8EENG40ZIIN89";"1";"BLACKROCK FRANCE SAS";;"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"FR";"";"";"2.1837";"34361.25";"34361.25";;"";"3.50623";"149.82711";"6";"0";"";"";"";"";"0";"225870565";"";"";"9";"2029-04-17";"0.03726";"132.6";"";"1";"";"V7.0"
"BASSCLO";"99";"Star Bassano";"EUR";"196927165.62";"2025-12-31";"2026-01-07";"1";"";"0.9998";"2.1837";"Y";"IE64";"1";"XS2370635463";"1";"";"CIFCE_1X   AR RegS";"";;"4855889.75";;"EUR";"4879538.5536";"4849325.0726";"4879538.5536";"4849325.0726";"0.024778392246248";"4879538.5536";"4879538.5536";;"0.024778392246248";;"Floating";"2.909";"3M EURIBOR";"";"3M EURIBOR";"0.9";"4";"2032-07-15";;"";;"2032-07-15";"";"";"CIFC EUROPEAN FUNDING CIFCE_1X";;"9";"CIFC EUROPEAN FUNDING CIFCE_1X";;"9";"IE";"1";"K6430";"NC";"0";"N";"N";"AR";"0.0000";;"";;"2021-08-16";;"";;"";;"";;"";;"";;"";;"";;"CIFC EUROPEAN FUNDING CIFCE_1X";;"9";"CIFC EUROPEAN FUNDING CIFCE_1X";;"9";"IE";"1";;"9";"0.03499";;"1.27229";;"0.00029";;"";"0.00002";"-0.00002";"0";"0";"0";"0";"0.00394";"0";"0";"0";"0";"";"";"";"";"";"AAA";"213800BTXUQP1JZRO283";"1";"549300J8EENG40ZIIN89";"1";"BLACKROCK FRANCE SAS";;"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"FR";"";"";"2.1837";"30213.48091";"30213.48091";;"";"3.08454";"107.38035";"6";"0";"";"";"";"";"0";"348152373";"";"";"9";"2028-10-16";"0.03499";"105.5";"";"1";"";"V7.0"
"BASSCLO";"99";"Star Bassano";"EUR";"196927165.62";"2025-12-31";"2026-01-07";"1";"";"0.9998";"2.1837";"Y";"IE64";"1";"XS2404259801";"1";"";"ACLO_4X   AR RegS";"";;"4525789.44";;"EUR";"4550295.0782";"4524010.8018";"4550295.0782";"4524010.8018";"0.023106487436549";"4550295.0782";"4550295.0782";;"0.023106487436549";;"Floating";"2.751";"3M EURIBOR";"";"3M EURIBOR";"0.73";"4";"2031-01-16";;"";;"2031-01-16";"";"";"AURIUM CLO IV DAC ACLO_4X";;"9";"AURIUM CLO IV DAC ACLO_4X";;"9";"IE";"1";"K6430";"NC";"0";"N";"N";"AR";"0.0000";;"";;"2021-11-17";;"";;"";;"";;"";;"";;"";;"";;"AURIUM CLO IV DAC ACLO_4X";;"9";"AURIUM CLO IV DAC ACLO_4X";;"9";"IE";"1";;"9";"0.04214";;"0.43384";;"0.00025";;"";"0.00002";"-0.00002";"0";"0";"0";"0";"0.00289";"0";"0";"0";"0";"";"";"";"";"";"AAA";"5493008B2TU3S6QE1E12";"1";"549300J8EENG40ZIIN89";"1";"BLACKROCK FRANCE SAS";;"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"FR";"";"";"2.1837";"26284.27645";"26284.27645";;"";"2.88694";"88.01125";"6";"0";"";"";"";"";"0";"240181296";"";"";"9";"2027-07-16";"0.04214";"95.5";"";"1";"";"V7.0"
"BASSCLO";"99";"Star Bassano";"EUR";"196927165.62";"2025-12-31";"2026-01-07";"1";"";"0.9998";"2.1837";"Y";"IE64";"1";"XS2395173748";"1";"";"BRGPT_3X    B RegS";"";;"4500000";;"EUR";"4544023.2750";"4507554.1500";"4544023.2750";"4507554.1500";"0.023074639097163";"4544023.2750";"4544023.2750";;"0.023074639097163";;"Floating";"3.789";"3M EURIBOR";"";"3M EURIBOR";"1.78";"4";"2036-01-15";;"";;"2036-01-15";"";"";"BRIDGEPOINT CLO 3 DAC BRGPT_3X";;"9";"BRIDGEPOINT CLO 3 DAC BRGPT_3X";;"9";"IE";"1";"K6430";"NC";"0";"N";"Y";"B";"1.0000";;"";;"2021-12-22";;"";;"";;"";;"";;"";;"";;"";;"BRIDGEPOINT CLO 3 DAC BRGPT_3X";;"9";"BRIDGEPOINT CLO 3 DAC BRGPT_3X";;"9";"IE";"1";;"9";"0.01807";;"3.823";;"0.00113";;"";"0.00002";"-0.00002";"0";"0";"0";"0";"0.003";"0";"0";"0";"0";"";"";"";"";"";"AA";"213800BTXUQP1JZRO283";"1";"549300J8EENG40ZIIN89";"1";"BLACKROCK FRANCE SAS";;"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"FR";"";"";"2.1837";"36469.125";"36469.125";;"";"3.83283";"179.58065";"6";"0";"";"";"";"";"0";"398000258";"";"";"9";"2030-07-15";"0.01807";"149.9";"";"1";"";"V7.0"
"BASSCLO";"99";"Star Bassano";"EUR";"196927165.62";"2025-12-31";"2026-01-07";"1";"";"0.9998";"2.1837";"Y";"XT64";"0";"XS2405873949";"1";"";"RFTE_21-2X    B RegS";"";;"4500000";;"EUR";"4537292.8000";"4505383.8000";"4537292.8000";"4505383.8000";"0.023040461613427";"4537292.8000";"4537292.8000";;"0.023040461613427";;"Floating";"3.816";"3M EURIBOR";"";"3M EURIBOR";"1.75";"4";"2035-01-24";;"";;"2035-01-24";"";"";"ROCKFORD TOWER EUROPE CLO DAC RFTE_21-2";;"9";"ROCKFORD TOWER EUROPE CLO DAC RFTE_21-2";;"9";"IE";"1";"K6430";"NC";"0";"N";"Y";"B";"1.0000";;"";;"2021-12-20";;"";;"";;"";;"";;"";;"";;"";;"ROCKFORD TOWER EUROPE CLO DAC RFTE_21-2";;"9";"ROCKFORD TOWER EUROPE CLO DAC RFTE_21-2";;"9";"IE";"1";;"9";"0.04517";;"3.71736";;"0.00124";;"";"0.00003";"-0.00003";"0";"0";"0";"0";"0.01148";"0";"0";"0";"0";"";"";"";"";"";"AA";"5493008B2TU3S6QE1E12";"1";"549300J8EENG40ZIIN89";"1";"BLACKROCK FRANCE SAS";;"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"FR";"";"";"2.1837";"31909";"31909";;"";"3.81051";"178.12882";"6";"0";"";"";"";"";"0";"396290321";"";"";"9";"2030-01-24";"0.04517";"149.5";"";"1";"";"V7.0"
"BASSCLO";"99";"Star Bassano";"EUR";"196927165.62";"2025-12-31";"2026-01-07";"1";"";"0.9998";"2.1837";"Y";"IE64";"1";"XS2417096554";"1";"";"TIKEH_6X   B1 RegS";"";;"4500000";;"EUR";"4534943.1750";"4498474.0500";"4534943.1750";"4498474.0500";"0.023028530171705";"4534943.1750";"4534943.1750";;"0.023028530171705";;"Floating";"3.789";"3M EURIBOR";"";"3M EURIBOR";"1.78";"4";"2035-01-15";;"";;"2035-01-15";"";"";"TIKEHAU CLO VI DAC TIKEH_6X";;"9";"TIKEHAU CLO VI DAC TIKEH_6X";;"9";"IE";"1";"K6430";"NC";"0";"N";"Y";"B1";"1.0000";;"";;"2021-12-21";;"";;"";;"";;"";;"";;"";;"";;"TIKEHAU CLO VI DAC TIKEH_6X";;"9";"TIKEHAU CLO VI DAC TIKEH_6X";;"9";"IE";"1";;"9";"0.01853";;"3.59246";;"0.00094";;"";"0.00002";"-0.00002";"0";"0";"0";"0";"0.01109";"0";"0";"0";"0";"";"";"";"";"";"AA";"5493008B2TU3S6QE1E12";"1";"549300J8EENG40ZIIN89";"1";"BLACKROCK FRANCE SAS";;"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"FR";"";"";"2.1837";"36469.125";"36469.125";;"";"3.88785";"185.27775";"6";"0";"";"";"";"";"0";"393111581";"";"";"9";"2030-01-15";"0.01853";"159.3";"";"1";"";"V7.0"
"BASSCLO";"99";"Star Bassano";"EUR";"196927165.62";"2025-12-31";"2026-01-07";"1";"";"0.9998";"2.1837";"Y";"XT64";"0";"XS2411228245";"1";"";"PLMER_22-1X   B1 RegS";"";;"4500000";;"EUR";"4533613.0000";"4500243.0000";"4533613.0000";"4500243.0000";"0.02302177551703";"4533613.0000";"4533613.0000";;"0.02302177551703";;"Floating";"3.76";"3M EURIBOR";"";"3M EURIBOR";"1.75";"4";"2035-01-21";;"";;"2035-01-21";"";"";"PALMER SQUARE EUROPEAN CLO DAC PLMER_22-1X";;"9";"PALMER SQUARE EUROPEAN CLO DAC PLMER_22-1X";;"9";"IE";"1";"K6430";"NC";"0";"N";"Y";"B1";"1.0000";;"";;"2021-12-21";;"";;"";;"";;"";;"";;"";;"";;"PALMER SQUARE EUROPEAN CLO DAC PLMER_22-1X";;"9";"PALMER SQUARE EUROPEAN CLO DAC PLMER_22-1X";;"9";"IE";"1";;"9";"0.03345";;"3.50595";;"0.00101";;"";"0.00002";"-0.00003";"0";"0";"0";"0";"0.01082";"0";"0";"0";"0";"";"";"";"";"";"AA";"5493008B2TU3S6QE1E12";"1";"549300J8EENG40ZIIN89";"1";"BLACKROCK FRANCE SAS";;"529900VBK42Y5HHRMD23";"1";"BLACKROCK INC";"FR";"";"";"2.1837";"33370";"33370";;"";"3.84713";"181.36202";"6";"0";"";"";"";"";"0";"396465280";"";"";"9";"2029-10-22";"0.03345";"156.7";"";"1";"";"V7.0"
